Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T061_001
"41051000100","14000US41051000100","Census Tract 1, Multnomah County, Oregon","Census Tract 1, Multnomah County, Oregon","or","140","00","ACSSF","0001412",,,,,"41","051",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87727
"41051000200","14000US41051000200","Census Tract 2, Multnomah County, Oregon","Census Tract 2, Multnomah County, Oregon","or","140","00","ACSSF","0001413",,,,,"41","051",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86763
"41051000301","14000US41051000301","Census Tract 3.01, Multnomah County, Oregon","Census Tract 3.01, Multnomah County, Oregon","or","140","00","ACSSF","0001414",,,,,"41","051",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62692
"41051000302","14000US41051000302","Census Tract 3.02, Multnomah County, Oregon","Census Tract 3.02, Multnomah County, Oregon","or","140","00","ACSSF","0001415",,,,,"41","051",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117308
"41051000401","14000US41051000401","Census Tract 4.01, Multnomah County, Oregon","Census Tract 4.01, Multnomah County, Oregon","or","140","00","ACSSF","0001416",,,,,"41","051",,,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86094
"41051000402","14000US41051000402","Census Tract 4.02, Multnomah County, Oregon","Census Tract 4.02, Multnomah County, Oregon","or","140","00","ACSSF","0001417",,,,,"41","051",,,,"000402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83750
"41051000501","14000US41051000501","Census Tract 5.01, Multnomah County, Oregon","Census Tract 5.01, Multnomah County, Oregon","or","140","00","ACSSF","0001418",,,,,"41","051",,,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56212
"41051000502","14000US41051000502","Census Tract 5.02, Multnomah County, Oregon","Census Tract 5.02, Multnomah County, Oregon","or","140","00","ACSSF","0001419",,,,,"41","051",,,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49272
"41051000601","14000US41051000601","Census Tract 6.01, Multnomah County, Oregon","Census Tract 6.01, Multnomah County, Oregon","or","140","00","ACSSF","0001420",,,,,"41","051",,,,"000601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49516
"41051000602","14000US41051000602","Census Tract 6.02, Multnomah County, Oregon","Census Tract 6.02, Multnomah County, Oregon","or","140","00","ACSSF","0001421",,,,,"41","051",,,,"000602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45393
"41051000701","14000US41051000701","Census Tract 7.01, Multnomah County, Oregon","Census Tract 7.01, Multnomah County, Oregon","or","140","00","ACSSF","0001422",,,,,"41","051",,,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72500
"41051000702","14000US41051000702","Census Tract 7.02, Multnomah County, Oregon","Census Tract 7.02, Multnomah County, Oregon","or","140","00","ACSSF","0001423",,,,,"41","051",,,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000
"41051000801","14000US41051000801","Census Tract 8.01, Multnomah County, Oregon","Census Tract 8.01, Multnomah County, Oregon","or","140","00","ACSSF","0001424",,,,,"41","051",,,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73162
"41051000802","14000US41051000802","Census Tract 8.02, Multnomah County, Oregon","Census Tract 8.02, Multnomah County, Oregon","or","140","00","ACSSF","0001425",,,,,"41","051",,,,"000802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67604
"41051000901","14000US41051000901","Census Tract 9.01, Multnomah County, Oregon","Census Tract 9.01, Multnomah County, Oregon","or","140","00","ACSSF","0001426",,,,,"41","051",,,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79141
"41051000902","14000US41051000902","Census Tract 9.02, Multnomah County, Oregon","Census Tract 9.02, Multnomah County, Oregon","or","140","00","ACSSF","0001427",,,,,"41","051",,,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24621
"41051001000","14000US41051001000","Census Tract 10, Multnomah County, Oregon","Census Tract 10, Multnomah County, Oregon","or","140","00","ACSSF","0001428",,,,,"41","051",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72107
"41051001101","14000US41051001101","Census Tract 11.01, Multnomah County, Oregon","Census Tract 11.01, Multnomah County, Oregon","or","140","00","ACSSF","0001429",,,,,"41","051",,,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61518
"41051001102","14000US41051001102","Census Tract 11.02, Multnomah County, Oregon","Census Tract 11.02, Multnomah County, Oregon","or","140","00","ACSSF","0001430",,,,,"41","051",,,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97813
"41051001201","14000US41051001201","Census Tract 12.01, Multnomah County, Oregon","Census Tract 12.01, Multnomah County, Oregon","or","140","00","ACSSF","0001431",,,,,"41","051",,,,"001201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51324
"41051001202","14000US41051001202","Census Tract 12.02, Multnomah County, Oregon","Census Tract 12.02, Multnomah County, Oregon","or","140","00","ACSSF","0001432",,,,,"41","051",,,,"001202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122222
"41051001301","14000US41051001301","Census Tract 13.01, Multnomah County, Oregon","Census Tract 13.01, Multnomah County, Oregon","or","140","00","ACSSF","0001433",,,,,"41","051",,,,"001301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89625
"41051001302","14000US41051001302","Census Tract 13.02, Multnomah County, Oregon","Census Tract 13.02, Multnomah County, Oregon","or","140","00","ACSSF","0001434",,,,,"41","051",,,,"001302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94821
"41051001400","14000US41051001400","Census Tract 14, Multnomah County, Oregon","Census Tract 14, Multnomah County, Oregon","or","140","00","ACSSF","0001435",,,,,"41","051",,,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84375
"41051001500","14000US41051001500","Census Tract 15, Multnomah County, Oregon","Census Tract 15, Multnomah County, Oregon","or","140","00","ACSSF","0001436",,,,,"41","051",,,,"001500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104286
"41051001601","14000US41051001601","Census Tract 16.01, Multnomah County, Oregon","Census Tract 16.01, Multnomah County, Oregon","or","140","00","ACSSF","0001437",,,,,"41","051",,,,"001601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86250
"41051001602","14000US41051001602","Census Tract 16.02, Multnomah County, Oregon","Census Tract 16.02, Multnomah County, Oregon","or","140","00","ACSSF","0001438",,,,,"41","051",,,,"001602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51438
"41051001701","14000US41051001701","Census Tract 17.01, Multnomah County, Oregon","Census Tract 17.01, Multnomah County, Oregon","or","140","00","ACSSF","0001439",,,,,"41","051",,,,"001701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62574
"41051001702","14000US41051001702","Census Tract 17.02, Multnomah County, Oregon","Census Tract 17.02, Multnomah County, Oregon","or","140","00","ACSSF","0001440",,,,,"41","051",,,,"001702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50732
"41051001801","14000US41051001801","Census Tract 18.01, Multnomah County, Oregon","Census Tract 18.01, Multnomah County, Oregon","or","140","00","ACSSF","0001441",,,,,"41","051",,,,"001801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70462
"41051001802","14000US41051001802","Census Tract 18.02, Multnomah County, Oregon","Census Tract 18.02, Multnomah County, Oregon","or","140","00","ACSSF","0001442",,,,,"41","051",,,,"001802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82955
"41051001900","14000US41051001900","Census Tract 19, Multnomah County, Oregon","Census Tract 19, Multnomah County, Oregon","or","140","00","ACSSF","0001443",,,,,"41","051",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139191
"41051002000","14000US41051002000","Census Tract 20, Multnomah County, Oregon","Census Tract 20, Multnomah County, Oregon","or","140","00","ACSSF","0001444",,,,,"41","051",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79194
"41051002100","14000US41051002100","Census Tract 21, Multnomah County, Oregon","Census Tract 21, Multnomah County, Oregon","or","140","00","ACSSF","0001445",,,,,"41","051",,,,"002100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73285
"41051002203","14000US41051002203","Census Tract 22.03, Multnomah County, Oregon","Census Tract 22.03, Multnomah County, Oregon","or","140","00","ACSSF","0001446",,,,,"41","051",,,,"002203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81496
"41051002303","14000US41051002303","Census Tract 23.03, Multnomah County, Oregon","Census Tract 23.03, Multnomah County, Oregon","or","140","00","ACSSF","0001447",,,,,"41","051",,,,"002303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50850
"41051002401","14000US41051002401","Census Tract 24.01, Multnomah County, Oregon","Census Tract 24.01, Multnomah County, Oregon","or","140","00","ACSSF","0001448",,,,,"41","051",,,,"002401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137604
"41051002402","14000US41051002402","Census Tract 24.02, Multnomah County, Oregon","Census Tract 24.02, Multnomah County, Oregon","or","140","00","ACSSF","0001449",,,,,"41","051",,,,"002402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66816
"41051002501","14000US41051002501","Census Tract 25.01, Multnomah County, Oregon","Census Tract 25.01, Multnomah County, Oregon","or","140","00","ACSSF","0001450",,,,,"41","051",,,,"002501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138094
"41051002502","14000US41051002502","Census Tract 25.02, Multnomah County, Oregon","Census Tract 25.02, Multnomah County, Oregon","or","140","00","ACSSF","0001451",,,,,"41","051",,,,"002502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97125
"41051002600","14000US41051002600","Census Tract 26, Multnomah County, Oregon","Census Tract 26, Multnomah County, Oregon","or","140","00","ACSSF","0001452",,,,,"41","051",,,,"002600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110625
"41051002701","14000US41051002701","Census Tract 27.01, Multnomah County, Oregon","Census Tract 27.01, Multnomah County, Oregon","or","140","00","ACSSF","0001453",,,,,"41","051",,,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128365
"41051002702","14000US41051002702","Census Tract 27.02, Multnomah County, Oregon","Census Tract 27.02, Multnomah County, Oregon","or","140","00","ACSSF","0001454",,,,,"41","051",,,,"002702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82865
"41051002801","14000US41051002801","Census Tract 28.01, Multnomah County, Oregon","Census Tract 28.01, Multnomah County, Oregon","or","140","00","ACSSF","0001455",,,,,"41","051",,,,"002801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91458
"41051002802","14000US41051002802","Census Tract 28.02, Multnomah County, Oregon","Census Tract 28.02, Multnomah County, Oregon","or","140","00","ACSSF","0001456",,,,,"41","051",,,,"002802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79362
"41051002901","14000US41051002901","Census Tract 29.01, Multnomah County, Oregon","Census Tract 29.01, Multnomah County, Oregon","or","140","00","ACSSF","0001457",,,,,"41","051",,,,"002901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71125
"41051002902","14000US41051002902","Census Tract 29.02, Multnomah County, Oregon","Census Tract 29.02, Multnomah County, Oregon","or","140","00","ACSSF","0001458",,,,,"41","051",,,,"002902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72484
"41051002903","14000US41051002903","Census Tract 29.03, Multnomah County, Oregon","Census Tract 29.03, Multnomah County, Oregon","or","140","00","ACSSF","0001459",,,,,"41","051",,,,"002903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60564
"41051003000","14000US41051003000","Census Tract 30, Multnomah County, Oregon","Census Tract 30, Multnomah County, Oregon","or","140","00","ACSSF","0001460",,,,,"41","051",,,,"003000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108347
"41051003100","14000US41051003100","Census Tract 31, Multnomah County, Oregon","Census Tract 31, Multnomah County, Oregon","or","140","00","ACSSF","0001461",,,,,"41","051",,,,"003100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105409
