"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_TRACT","SE_T061_001","TRACT","TRACT_NO","FIPS"
41051000100,"14000US41051000100","Census Tract 1, Multnomah County, Oregon","Census Tract 1, Multnomah County, Oregon",100,87727,NA,NA,NA
41051000200,"14000US41051000200","Census Tract 2, Multnomah County, Oregon","Census Tract 2, Multnomah County, Oregon",200,86763,NA,NA,NA
41051000301,"14000US41051000301","Census Tract 3.01, Multnomah County, Oregon","Census Tract 3.01, Multnomah County, Oregon",301,62692,NA,NA,NA
41051000302,"14000US41051000302","Census Tract 3.02, Multnomah County, Oregon","Census Tract 3.02, Multnomah County, Oregon",302,117308,NA,NA,NA
41051000401,"14000US41051000401","Census Tract 4.01, Multnomah County, Oregon","Census Tract 4.01, Multnomah County, Oregon",401,86094,NA,NA,NA
41051000402,"14000US41051000402","Census Tract 4.02, Multnomah County, Oregon","Census Tract 4.02, Multnomah County, Oregon",402,83750,NA,NA,NA
41051000501,"14000US41051000501","Census Tract 5.01, Multnomah County, Oregon","Census Tract 5.01, Multnomah County, Oregon",501,56212,NA,NA,NA
41051000502,"14000US41051000502","Census Tract 5.02, Multnomah County, Oregon","Census Tract 5.02, Multnomah County, Oregon",502,49272,NA,NA,NA
41051000601,"14000US41051000601","Census Tract 6.01, Multnomah County, Oregon","Census Tract 6.01, Multnomah County, Oregon",601,49516,NA,NA,NA
41051000602,"14000US41051000602","Census Tract 6.02, Multnomah County, Oregon","Census Tract 6.02, Multnomah County, Oregon",602,45393,NA,NA,NA
41051000701,"14000US41051000701","Census Tract 7.01, Multnomah County, Oregon","Census Tract 7.01, Multnomah County, Oregon",701,72500,NA,NA,NA
41051000702,"14000US41051000702","Census Tract 7.02, Multnomah County, Oregon","Census Tract 7.02, Multnomah County, Oregon",702,50000,NA,NA,NA
41051000801,"14000US41051000801","Census Tract 8.01, Multnomah County, Oregon","Census Tract 8.01, Multnomah County, Oregon",801,73162,NA,NA,NA
41051000802,"14000US41051000802","Census Tract 8.02, Multnomah County, Oregon","Census Tract 8.02, Multnomah County, Oregon",802,67604,NA,NA,NA
41051000901,"14000US41051000901","Census Tract 9.01, Multnomah County, Oregon","Census Tract 9.01, Multnomah County, Oregon",901,79141,NA,NA,NA
41051000902,"14000US41051000902","Census Tract 9.02, Multnomah County, Oregon","Census Tract 9.02, Multnomah County, Oregon",902,24621,NA,NA,NA
41051001000,"14000US41051001000","Census Tract 10, Multnomah County, Oregon","Census Tract 10, Multnomah County, Oregon",1000,72107,NA,NA,NA
41051001101,"14000US41051001101","Census Tract 11.01, Multnomah County, Oregon","Census Tract 11.01, Multnomah County, Oregon",1101,61518,NA,NA,NA
41051001102,"14000US41051001102","Census Tract 11.02, Multnomah County, Oregon","Census Tract 11.02, Multnomah County, Oregon",1102,97813,NA,NA,NA
41051001201,"14000US41051001201","Census Tract 12.01, Multnomah County, Oregon","Census Tract 12.01, Multnomah County, Oregon",1201,51324,NA,NA,NA
41051001202,"14000US41051001202","Census Tract 12.02, Multnomah County, Oregon","Census Tract 12.02, Multnomah County, Oregon",1202,122222,NA,NA,NA
41051001301,"14000US41051001301","Census Tract 13.01, Multnomah County, Oregon","Census Tract 13.01, Multnomah County, Oregon",1301,89625,NA,NA,NA
