"","name","index"
"1","Alaska yellow-cedar",6
"2","American elm",5
"3","American hophornbeam",3
"4","American hornbeam, blue beech",1
"5","American linden",5
"6","American smoketree",1
"7","American yellowwood",3
"8","Amur maackia",3
"9","Amur maple",1
"10","apple (MADO)",3
"11","Asian pear, sand pear",3
"12","Austrian black pine",7
"13","bald cypress",3
"14","bay laurel",1
"15","beech",5
"16","bigleaf maple",6
"17","bigleaf snowbell, fragrant snowbell",1
"18","birch",3
"19","black hawthorn",2
"20","black tupelo",3
"21","black walnut",5
"22","blue Atlas cedar",7
"23","box elder",5
"24","boxleaf azara",3
"25","bur oak",5
"26","California bay",8
"27","California black oak",6
"28","California redbud",1
"29","cascara buckthorn",2
"30","cedar",7
"31","cherry",1
"32","chestnut",5
"33","China fir",7
"34","Chinese chestnut",5
"35","Chinese fringe tree",1
"36","Chinese lacebark elm",3
"37","Chinese pistache",1
"38","Chinese tupelo",3
"39","chinkapin oak",5
"40","chitalpa",1
"41","coast redwood",8
"42","Colorado blue spruce",7
"43","common fig",1
"44","cork tree",1
"45","cornelian cherry",1
"46","crape myrtle",1
"47","cypress",5
"48","dawn redwood",5
"49","deodar cedar",7
"50","dogwood",1
"51","Douglas-fir",8
"52","dove or handkerchief tree",3
"53","eastern dogwood",1
"54","eastern redbud",1
"55","eastern white oak",5
"56","elm",5
"57","elm hybrid",5
"58","English oak",5
"59","English walnut",5
"60","eucalyptus",7
"61","European ash",3
"62","European beech",5
"63","European hornbeam",3
"64","European pear (including cultivars)",3
"65","European white birch",3
"66","flowering ash",3
"67","flowering pear",3
"68","flowering plum",1
"69","Franklin tree, franklinia",1
"70","giant dogwood",3
"71","giant sequoia",7
"72","ginkgo",5
"73","glory bower",1
"74","goldenchain tree",1
"75","goldenrain tree",3
"76","grand fir",8
"77","green ash",3
"78","hackberry",3
"79","Hardy Chinese rubber tree, eucommia",1
"80","Harlequin glory bower",3
"81","hedge maple",3
"82","Himalayan whitebarked birch",3
"83","honey locust",5
"84","hophornbeam",3
"85","hornbeam",3
"86","horsechestnuts, buckeyes",5
"87","Hungarian oak, Italian oak",5
"88","incense cedar",8
"89","Japanese flowering cherry",1
"90","Japanese maple",1
"91","Japanese pagoda tree, Chinese scholar tree",3
"92","Japanese snowbell",1
"93","Japanese stewartia",1
"94","Japanese tree lilac",1
"95","Japanese zelkova",3
"96","katsura",3
"97","Kentucky coffee tree",5
"98","kousa dogwood",1
"99","Lavalle hawthorn",1
"100","limber pine",8
"101","linden, basswood",5
"102","littleleaf linden",5
"103","London plane tree",5
"104","magnolia",3
"105","maple",3
"106","Marina strawberry tree",3
"107","mountain ash or whitebeam",1
"108","mountain silverbell",1
"109","narrowleaf ash (includes 'Raywood')",3
"110","northern catalpa",5
"111","northern red oak",5
"112","Norway maple",3
"113","orange-bark stewartia, tall stewartia",1
"114","Oregon ash",4
"115","Oregon white oak",6
"116","ornamental crabapple",1
"117","Osage orange",1
"118","Pacific crabapple",2
"119","Pacific dogwood",4
"120","Pacific madrone",6
"121","paperbark cherry, birchbark cherry, Tibetan cherry",1
"122","paperbark maple",1
"123","paper birch",3
"124","paulownia, Empress tree, foxglove tree",5
"125","paw paw",3
"126","pear",3
"127","pearlbloom tree",3
"128","Persian ironwood",3
"129","persimmon",3
"130","pin oak",5
"131","plum",1
"132","ponderosa pine",8
"133","Prunus species",3
"134","purple catalpa",3
"135","quaking aspen",4
"136","red alder",4
"137","redbud",1
"138","red maple",3
"139","red-silver maple hybrid",3
"140","river birch",3
"141","Rocky Mountain Glow maple",1
"142","sassafras",3
"143","saucer magnolia",3
"144","sawtooth oak",5
"145","scarlet oak",5
"146","Scots pine",7
"147","Seven-son plant",1
"148","shore pine, lodgepole pine",6
"149","silk tree",3
"150","silverbell",1
"151","silverleaf oak",5
"152","silver linden",5
"153","silver maple",5
"154","smoketree",1
"155","snakebark maple",1
"156","sourwood",3
"157","southern live oak",7
"158","southern magnolia",5
"159","stewartia",1
"160","strawberry tree",3
"161","sugar maple",5
"162","swamp white oak",5
"163","sweetbay",5
"164","sweetgum",3
"165","sycamore maple",5
"166","sycoparrotia",1
"167","trident maple",1
"168","tulip tree",5
"169","Turkish hazel",1
"170","umbrella pine",5
"171","vine maple",2
"172","Washington hawthorn",1
"173","western hemlock",8
"174","western redcedar",8
"175","white ash",3
"176","willow oak",5
"177","winged hackberry",3
"178","witch hazel",1
"179","zelkova",3
